,alias,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtAmt,maxLmtSz,maxMktAmt,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,settleCcy,state,stk,tickSz,uly
248,,POLS,1,,,,,,,POLS-USDT,SPOT,,1548133413000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,10,,USDT,,live,,0.0001,
249,,POLYDOGE,1,,,,,,,POLYDOGE-USDT,SPOT,,1636365219000,1,9999999999999999.0000000000000000,20000000,9999999999999999,1000000,25000000000,25000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,100000000,,USDT,,live,,0.00000000001,
250,,POR,1,,,,,,,POR-USDT,SPOT,,1663915767000,0.0001,99999999999999.0000000000000000,20000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1,,USDT,,live,,0.001,
251,,PRQ,1,,,,,,,PRQ-USDT,SPOT,,1548133413000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,10,,USDT,,live,,0.0001,
252,,PSTAKE,1,,,,,,,PSTAKE-USDT,SPOT,,1645689409000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,100,,USDT,,live,,0.00001,
253,,PYTH,1,,,,,,,PYTH-USDT,SPOT,5,1700480883000,0.001,999999999999999.0000000000000000,20000000,999999999999999,1000000,1000000,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,10,,USDT,,live,,0.0001,
254,,QTUM,1,,,,,,,QTUM-USDT,SPOT,5,1548133413000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,1,,USDT,,live,,0.001,
255,,RACA,1,,,,,,,RACA-USDT,SPOT,5,1638857971000,0.001,999999999999999.0000000000000000,20000000,999999999999999,1000000,1000000,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000,,USDT,,live,,0.0000001,
256,,RADAR,1,,,,,,,RADAR-USDT,SPOT,,1677038978000,0.001,999999999999999.0000000000000000,20000000,999999999999999,1000000,1000000,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000,,USDT,,live,,0.00001,
257,,RAY,1,,,,,,,RAY-USDT,SPOT,,1639723800000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,1,,USDT,,live,,0.0001,
258,,RDNT,1,,,,,,,RDNT-USDT,SPOT,5,1679379214000,0.001,999999999999999.0000000000000000,20000000,999999999999999,1000000,1000000,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,10,,USDT,,live,,0.0001,
